"","Trans B","Mat B","Mem B","PB","PC"
"Lancl1",0.0640304750335061,0.368783622643501,0.495898314621529,0.275923408943964,0.360792133221725
"Ikzf2",0,0,0,0.00342463828662992,0
"Bard1",0.0237069751486719,0.00961916526099199,0.0536503007118493,0.205163723167221,0.00322952132384307
"Atic",0.589776440361872,0.679073831523413,0.676139734202902,0.417628546113931,0.277982003919544
"Mreg",0.0815939864993643,1.02964350156599,0.509455452731183,0.163974513346364,0.130733636021139
"Gm25360",0,0,0.0573262905939349,0.105599559921772,0.259674411331372
"Gm24497",0,0,0,0.034585106271789,0.0263650271785714
"Gm25939",0,0.00677809267737468,0,0.0664364704894628,0.032615683563509
"Pecr",0,0.10249017861935,0.0679034997910224,0.262243000206667,0.646250595451885
"Xrcc5",0.0209140713642942,0.190966394556419,0.144657960575033,0.147235604632138,0.152512740513619
"Smarcal1",0.140639750883925,0.0905078770074413,0.0541319457628931,0.0781276660026488,0.0685342425404085
"Rpl37a",48.4260551333599,112.844223395523,116.639723537635,71.1136331962219,58.8554039629534
"Arpc2",12.2180161974256,11.7178021369294,13.0621673709648,8.53260062435679,7.4635246550031
"Aamp",1.22271216191932,1.50761300944794,1.19691535111964,1.46621864749089,2.30198772316383
"Pnkd",0.667732495881237,0.633125920027254,0.497191366776738,0.967203804299976,1.09010046954714
"Tmbim1",0,0.116131589850948,0.0606476252341914,0.11473249842181,0.179161876467459
"Slc11a1",0,0,0,0.00525186205909536,0.00205988538951731
"Ctdsp1",0.439528191265772,0.186066841764903,0.246415436565928,0.197380994621307,0.325601496304421
"Usp37",0.144761923426018,0.127328902563324,0.149311758893747,0.156588193361206,0.0664051750808802
"Cnot9",0.181397425107937,0.120883211630474,0.225556551920101,0.271394499522329,0.150078989825584
"Zfp142",0.133852761975695,0.072725272505491,0.102970959635583,0.0506055368844198,0.0868171942570077
"Bcs1l",0.121218832065998,0.197964721053355,0.124331370677317,0.163846261288825,0.161683663870196
"Rnf25",0.255654348709756,0.284365531269431,0.290046604014928,0.242810389583696,0.430297403098519
"Ttll4",0.0278347575365149,0.025988234058724,0.0426698619239962,0.0527840654262448,0.0300764838362016
"Cyp27a1",0.0456394904200413,0,0,0,0.000552816138459287
"Wnt6",0,0.00822198051723405,0,0.00279919407552424,0.00285145198053053
"Wnt10a",0.180576874241348,1.28569602511682,0.00718516661329128,0.288788621129269,0.312569967807802
"Nhej1",0,0,0,0.00400362154201157,0.0115880796114412
"Cnppd1",1.06951019470295,0.695866720277061,0.794960249496967,0.462208762446229,0.99062550926008
"Retreg2",0.425178993090172,0.506580143126051,0.451901063390535,0.443642999283026,0.480359026182391
"Zfand2b",0.704718075364498,0.298276860939922,0.295853423466928,0.285030290986383,0.413533657308187
"Abcb6",0,0,0,0.00905671906656156,0.00584078631029828
"Atg9a",0.0805115907369269,0.0106962205663318,0,0.0186078115869022,0.0473828915610939
"Ankzf1",0.176213747486875,0.207013210124534,0.189627867470907,0.0414156692197992,0.14246044910119
"Glb1l",0,0.0284185160755375,0.0298099672800122,0.0163283708585839,0.0224236970867587
"Stk16",1.0447234312586,0.51988946472522,0.475917251339869,0.405952950033112,0.508847734329202
"Tuba4a",0.430753276546831,0.855674968836484,0.564791543898506,0.888079849353409,0.587013144890211
"Dnajb2",0.0435993565373161,0.107234041004,0.316007196765002,0.0822716835887915,0.261890253521507
"Dnpep",1.02820284494173,0.523484962575848,0.463818935805601,1.1793298864157,1.34646609060481
"Speg",0,0,0,0,0.00479169281529687
"Gmppa",0.247539454978123,0.290471682142524,0.186820200418687,2.01126221062483,2.24504580317332
"Chpf",0.0219794053529669,0.15351030977867,0.181552646267213,0.520088603677494,0.795163054779397
"Obsl1",0,0,0,0,0.0105351947544169
"Tmem198",0,0.0123845254467944,0,0.00205773364381202,0.00571930636006003
"Stk11ip",0.141969932965803,0.0547699759564204,0.210692095013214,0.0423040638867175,0.0331890129829297
"Slc4a3",0,0,0,0,0.00509862494368944
"Sgpp2",0,0,0,0.022955680253858,0.0186634987323689
"Farsb",0.91886680352385,1.63305978023748,0.939288855047916,0.656407643191241,0.614626195222054
"4833412K13Rik",0,0,0.0144085881865903,0,0.0134377405155196
"Mogat1",0.031046123249895,0,0,0.0222550185633109,0.0171701702722467
"Acsl3",0.034721507232062,0.108345955387986,0.0507821059052437,0.13261318649581,0.0867618327989261
"Utp14b",0,0.00212986241947082,0,0.0209057385727492,0.00350615626261078
"Gm5830",0,0,0,0,0.00365814569985426
"Ap1s3",0.798437144558395,0.389256389041257,0.456332230648504,0.306451200439156,0.216768412040137
"Wdfy1",0.0455768991924556,0.710168986017205,0.389652021145449,0.152397482411996,0.20704845281294
"Mrpl44",0.255916296677332,0.417377558941835,0.281626159897951,0.304934866327045,0.309492022201561
"Serpine2",0,0.136918832563473,0,0.0591318002560217,0.0321427110946439
"Cul3",0.170741434369289,0.120757983533844,0.391787406390456,0.24523063105846,0.169342986675851
"Dock10",1.32397463273284,2.09551767576927,5.57017615383342,0.484925341078635,0.696584002433666
"Gm37645",0,0.0158913799574533,0,0.00305674473881985,0.00266100449028224
"Gm38062",0,0.014554065449415,0.0275241916403824,0,0.000769490254834659
"A630081D01Rik",0.0209140713642942,0.00656401353807623,0.0187131808608227,0,0.0115416018568737
"Rhbdd1",0.0304860577950604,0.0780518983892185,0.0508484637179665,0.128313288968176,0.1657648761769
"C430014B12Rik",0,0.0063885975764659,0,0,0.00396113449125707
"Mff",1.13476388038729,1.14765333234224,0.919471471951601,0.99521867620284,1.23534497174666
"Agfg1",0.13711141474814,0.184433649594767,0.2285191572465,0.123381229657894,0.108448817424534
"Trip12",0.477754358792318,0.47698206321082,0.923353073154432,0.199663527244061,0.359998249017388
"Gm37738",0,0,0,0.00514282249906757,0.00821727979406611
"Fbxo36",0,0.0350043504139984,0.00926014309143849,0.0642005543078174,0.0732742319775307
"ENSMUSG00000118590",0,0,0,0,0.00907739291772713
"C130026I21Rik",0.0722838668231569,0.489309331568148,0.622394666331423,0.214268796396945,0.357708514544381
"Rpl19-ps1",0.0617294358918181,0.0260806563420641,0,0.0407704485969755,0.0101058275295358
"Gm7582",0.029618569739824,0.256895402563472,0.327724611728846,0.102968628095052,0.277316239596135
"Gm18342",0,0.0540088046064464,0.0116343744647235,0.00815028854658106,0.0104977694583721
"A530032D15Rik",0.255179818439083,0.496952274971516,0.424606462711998,0.177176367382545,0.241416791262171
