"","IgA","IgE1","IgE2","IgG","IgM"
"Nif3l1",0.212882283386806,0.197995719936639,0.189353270335952,0.115572124146038,0.211274831473853
"Orc2",0.239964882380983,0.209802159665499,0.212873937705676,0.283737438745902,0.154078476244475
"Gm15834",0.0144589155714714,0.0231740392224708,0.0127087246984217,0.0113059967716646,0.0373555093851726
"Fam126b",0.0836541912538061,0.0755399096936428,0.0283986542091786,0.0532585590322187,0.0360503101779084
"Ndufb3",1.7277663989639,2.06006008171538,2.0797346430654,2.35438605619255,1.74307497146312
"Gm20257",0.28577320847415,0.427364990680966,0.270263456882737,0.360791247679928,0.290740010879492
"Cflar",1.27972007293687,1.65745149333687,1.83243855597814,1.16638566154497,1.33577834499994
"Casp8",0.596930041017941,0.532983031062229,0.634807175983384,1.08689405326203,0.784170212613152
"Gm37760",0.0061501836397512,0.0281058127919935,0.0494871082869131,0.0170339436214044,0.0435993310586272
"Gm28802",0.0106314650843797,0.00432236634706216,0.0135550454721004,0,0.0107709690907756
"Trak2",0.209892916575728,0.318623324448876,0.23027969048676,0.080227912567891,0.246651331945675
"Stradb",0.566141702312864,0.376946503696038,0.391176874380061,0.296736458690176,0.414743084619883
"Tmem237",0.087952852871884,0.121596364840219,0.0910244765666038,0.0876603680763367,0.105836726175228
"G730003C15Rik",0.0200722536035202,0.0111122565128086,0.0204480573287259,0,0
"Als2",0.159219184427196,0.0540165428326027,0.0434238951306624,0,0.156083060215499
"Sumo1",2.35663456826629,2.04940823775283,2.18535952830269,2.13812001258914,2.12338935061625
"Nop58",0.820302324493343,0.824933506064563,0.714942606338701,1.07872606469225,1.14573634030059
"Bmpr2",0.00744382548824264,0,0,0,0.00626472893559507
"Fam117b",0.0632823783605003,0.0832935748633652,0.0307920269475713,0.0946198238139094,0.0577204805242214
"Wdr12",0.132104333143337,0.189371218023953,0.201631201160204,0.221845719026906,0.168080948922566
"Carf",0.0134277813382914,0.00910904145421189,0.0456887687218348,0,0.0125250968009247
"Nbeal1",0.115998474954306,0.103729500087423,0.305428769782686,0.12937220342614,0.140588827333599
"Cyp20a1",0.335889074496385,0.460552237042791,0.374012071063956,0.471634898955007,0.787525476961802
"6030460B20Rik",0,0.00733718124619365,0.00759486971035616,0,0.066479156583571
"Abi2",0.0249212455104672,0.057260461036205,0.0426047638866294,0.0564892722054874,0.078225822997859
"Raph1",0.275041246166893,0.115486565903163,0.195333928924538,0.124636619203645,0.105936613864527
"Gm11575",0.0134687729282,0.0215911693668878,0.00781846954104822,0,0.0249962499619826
"Eif4a-ps4",0.011966329939338,0.00623875711188825,0.00435813440716557,0,0.01000570599963
"Cd28",1.74608120682258,0.637040889530218,0.474194727023068,0.726293809887422,0.702044969468412
"Ctla4",0.126743629039058,0.0304486563922323,0.028281187131449,0.0657786252820126,0.0675024236164047
"Rpl18-ps1",0.027449442471302,0,0.0268969062861986,0.02225490127941,0.00798961487098385
"Icos",0,0,0,0,0
"Pard3b",0,0.0034210860548371,0,0,0
"Nrp2",0.061353009424931,0.123630184654685,0.11510904612928,0.0318086599772719,0.414906572948786
"Ino80d",0.127730264204015,0.180731731803383,0.116992648189342,0.116111537088291,0.176289275144818
"Ino80dos",0.0155692227927872,0.0482133353446919,0.0205834049333333,0.0423546907854988,0.0202902577925963
"Gm20342",0,0.00524358690676574,0.0127087246984217,0,0.00576385564751375
"Ndufs1",0.444603136899731,0.417049379210652,0.427430133269737,0.456204360312042,0.382198683528997
"Eef1b2",19.4023157211044,15.6337192558604,35.0342794161913,16.5305082922814,29.8921793112774
"Fastkd2",0.11640691632087,0.0960564593255231,0.0916074563671319,0.047923942388933,0.0713187860075214
"Klf7",0.274414468819395,0.353716704704596,0.160848788328027,0.295046070041284,0.251537876314864
"Creb1",0.205674271903489,0.239652187526874,0.159454078516057,0.141790966690836,0.324095671156
"Mettl21a",0.138802232178468,0.239654366547779,0.17872524314609,0.117924795114439,0.157590245726813
"2810408I11Rik",0.0195998253422225,0.0575038877876172,0.146805740627149,0,0.0653788981471523
"Ccnyl1",0.0110665936289972,0.00752452137274552,0,0,0.00987145296530267
"Fzd5",0,0.0116098658149454,0.0303803439846385,0,0.0044647156746369
"Plekhm3",0.158252400968077,0.238968930532433,0.12360220887236,0.29684784248197,0.310422854811174
"Rpl10a-ps1",0.22509616088282,0.245900600246389,0.325783965479668,0.265217909126224,0.236573600422317
